web_scraper_order,web_scraper_start_url,data,price,data2,data3,data4,data5,data6,photo
"1789824661-33","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","PACK 9 DALLES CLICKFLOOR PIEDRA 30X30CM","579,00 MAD","Voir produit","CATRAL","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/b/a/baldosa-sintetica-lop-imitacion-piedra.jpeg"
"1789824661-34","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","PACK 9 DALLES CLICKFLOOR  PIZARRA 30X30CM","599,00 MAD","Voir produit","CATRAL","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/c/a/capture_d_e_cran_2022-04-08_a_11.10.06.png"
"1789824661-35","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","PACK 5 BORDURES TRONCS CLICKBORDER","249,00 MAD","Voir produit","CATRAL","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/1/114569-compressed.jpg"
"1789824661-36","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","PACK 5 BORDURES TRONCS CLICKBORDER 40X20CM","249,00 MAD","Voir produit","CATRAL","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/b/o/bordura-jardin-clickborder-40x20cm-blanca-catral-scaled.jpeg"
"1789824661-37","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","PACK 5 BORDURES TRONCS CLICKBORDER 40X20CM","249,00 MAD","Voir produit","CATRAL","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/b/o/bordura-jardin-clickborder-40x20cm-marron-catral-scaled.jpeg"
"1789824661-38","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","PACK 5 BORDURES TRONCS CLICKBORDER 40X20CM","249,00 MAD","Voir produit","CATRAL","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/b/o/bordura-jardin-clickborder-40x20cm-antracita-scaled.jpeg"
"1789824661-39","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","PACK 5 BORDURES PLANCHE CLICKBORDER","199,00 MAD","Voir produit","CATRAL","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/b/o/bordillo-jardin-clickborder-40x20cm-verde-scaled.jpeg"
"1789824661-40","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","PACK 5 BORDURES PLANCHE CLICKBORDER 40X20CM","199,00 MAD","Voir produit","CATRAL","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/b/o/bordillo-jardin-clickborder-lop-40x20cm-marron-catral-scaled.jpeg"
"1789824661-41","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","PACK 5 BORDURES PLANCHE CLICKBORDER 40X20CM","199,00 MAD","Voir produit","CATRAL","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/b/o/bordillo-jardin-clickborder-lop-40x20cm-antracita-oferta-scaled.jpeg"
"1789824661-42","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","PACK 5 MINI CLOTURES CLICKFENCE 35X55CM","299,00 MAD","Voir produit","CATRAL","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/m/i/mini-vallas-clickfence-lop-40x40cm-blanco-oferta-scaled.jpeg"
